,speaker,text
185,lex fridman, just to clarify a chemist might say that of course out there outside of earth theres complex molecules
186,lee cronin, yes
187,lex fridman, okay and then youre saying wait a minute thats like saying of course theres aliens out there like you
188,lee cronin, yeah exactly that
189,lex fridman, okay
190,lee cronin, exactly
191,lex fridman, you clarify that thats actually a very interesting question and we should be looking for complex molecules of which the copy number is two or greater
192,lee cronin, yeah exactly so on earth so coming back to earth what we did is we took a whole bunch of samples and we were running prebiotic chemistry experiments in the lab we took various inorganic minerals and extracted them look at the volatile because theres a special way of treating minerals and polymers in assembly theory in this in our life machine were looking at molecules we dont care about polymers because they dont theyre not volatile you cant hold them how can you make if you cant discern that theyre identical then its very difficult for you to work out if this undergone selection or theyre just a random mess
193,lee cronin, same with some minerals but we can come back to that so basically what you do weve got a whole loads of samples inorganic ones we got a load of we got scotch whiskey and also got
194,lex fridman, nice
195,lee cronin,  took a odd bag which is one of my favorite whiskeys which is very peaty and another
196,lex fridman, whats peaty mean
197,lee cronin, it is like so the way that in scotland in isla which is a little island the scotch the whiskey is let to mature in barrels its said that the peat the complex molecules in the peat find their way through into the whiskey and thats what gives it this intense brown color and really complex flavor its literally molecular complexity that does that and so vodkas the complete opposite its just pure right
198,lex fridman, so the better the whiskey the higher the assembly index the higher the assembly index the better the whiskey
199,lee cronin, i mean i really love deep peaty scottish whiskeys near my house there is one of the lowland distilleries called glengoyne its still beautiful whiskey but not as complex so for fun i took some glengoyne whiskey in our bag and put them into the mass spec and measured the assembly index i also got e coli so the way we do it take the e coli break the cell apart take it all apart and also got some beer and people were ridiculing us saying oh beer is evidence of complexity
200,lee cronin, and one of the computational complexity people it was just throwing yeah hes very vigorous in his disagreement of assembly theory was just saying you dont know what youre doing even beer is more complicated than human what he didnt realize is that its not beer per se its taking the yeast extract taking the extract breaking the cells extracting the molecules and just looking at the profile of the molecules see if theres anything over the threshold and we also put in a really complex molecule taxol
201,lee cronin, so we took all of these but also nasa gave us i think five samples and they wouldnt tell us what they are they said no we dont believe youre going to get this to work and they really gave us some super complex samples and they gave us two fossils one that was a million years old and one was at  years old something from antarctica seabed they gave us some murchison and meteorite and a few others put them through the system so we took all the samples treat them all identically put them into mass spec fragmented them counted
202,lee cronin, and in this case implicit in the measurement was we in mass spec you only detect peaks when youve got more than say lets say  identical molecules so the copy numbers already baked in but wasnt quantified which is super important there this was in the first paper because i was like its abundant of course
203,lee cronin, and when you then took it all out we found that the biological samples gave you molecules that had an assembly index greater than  and all the abiotic samples were less than  and then we took the nasa samples and we looked at the ones that were more than  less than  and we gave them back to nasa and theyre like oh gosh yep dead living dead living you got it and thats what we found on earth
204,lex fridman, thats a success
205,lee cronin, yeah oh yeah resounding success
206,lex fridman, can you just go back to the beer and the e coli so whats the assembly index on those
207,lee cronin, so what you were able to do is the assembly index of we found high assembly index molecules originating from the beer sample and the e coli sample
208,lex fridman, yeast in the beer
209,lex fridman,evolution of life on earth
210,lee cronin, i didnt know which one was higher we didnt really do any detail there because now we are doing that because one of the things weve done its a secret but i can tell you i think its
211,lex fridman, nobodys listening
212,lee cronin,  well is that weve just mapped the tree of life using assembly theory because everyone said  oh you cant do anything from biology and what were able to do is so i think theres three well two ways of doing tree of life well three ways actually
213,lex fridman, whats the tree of life
214,lee cronin, so the tree of life is basically tracing back the history of life on earth all the different species going back who evolved from what and it all goes all the way back to the first life forms and they branch off and you have plant kingdom the animal kingdom the fungi kingdom and different branches all the way up and the way this was classically done and im no evolutionary biologist the evolutionary biologists tell me every day at least  times i want to be one though i like biology its cool
215,lex fridman, yeah its very cool
216,lee cronin, but basically
217,lex fridman, evolutionary
218,lee cronin,  what darwin and mendeleev and all these people do is just they draw pictures and they inaudible  taxa they were able to draw pictures and say oh these look like common classes
219,lex fridman, yeah
220,lee cronin, then
221,lex fridman, theyre artists really theyre just
222,lee cronin, they were able to find out a lot right and looking at vertebrates and vertebrates cambrian explosion and all this stuff and then came the genomic revolution and suddenly everyone used gene sequencing and craig venters a good example i think hes gone around the world in his yacht just picking up samples looking for new species where hes just found new species of life just from sequencing its amazing so you have taxonomy you have sequencing and then you can also do a little bit of molecular archeology like measure the samples and form some inference
223,lee cronin, what we did is we were able to fingerprint so we took a load of random samples from all of biology and we used mass spectrometry and what we did now is not just look for individual molecules but we looked for coexisting molecules where they had to look at their joint assembly space and we were able to cut them apart and undergo recursion in the mass spec and infer some relationships and were able to recapitulate the tree of life using mass spectroscopy no sequencing and no drawing
224,lex fridman, all right can you try to say that again with a little more detail so recreating what does it take to recreate the tree of life what does the reverse engineering process look like here
225,lee cronin, so what you do is you take an unknown sample you bung it into the mass spec you get because this comes from what youre asking what do you see in e coli
226,lex fridman, mmhmm
227,lee cronin, and so in e coli you dont just see its not the most sophisticated cells on earth make the most sophisticated molecules it is the coexistence of lots of complex molecules above a threshold and so what we realized is you could fingerprint different life forms so fungi make really complicated molecules why because they cant move they have to make everything onsite
228,lee cronin, whereas some animals are lazy they can just go eat the fungi and they dont need to make very much and so what you do is you look at the so you take i dont know the fingerprint maybe the top number of high molecular weight molecules you find in the sample you fragment them to get their assembly indices and then what you can do is you can infer common origins of molecules you can do a molecular when the reverse engineering of the assembly space you can infer common roots and look at whats called the joint assembly space
229,lee cronin, but lets translate that into the experiment take a sample bung it in the mass spec take the top say  molecules fragment them and that gives you one fingerprint then you do it for another sample you get another fingerprint now the question is you say hey are these samples the same or different and thats what weve been able to do and by basically looking at the assembly space that these molecules create without any knowledge of assembly theory you are unable to do it with a knowledge of assembly theory you can reconstruct the tree
230,lex fridman, how does knowing if theyre the same or different give you the tree
231,lee cronin, lets go to two leaves on different branches on the tree right what you can do by counting the number of differences you can estimate how far away their origin was
232,lex fridman, got it
233,lee cronin, and thats what we do and it just works but when we realized you could even use assembly theory to recapitulate the tree of life with no gene sequencing we were like huh
234,lex fridman, so this is looking at samples that exist today in the world
235,lee cronin, yeah
236,lex fridman, what about things that are no longer exist i mean the tree contains information about the past
237,lee cronin, i would
238,lex fridman,  some of it is gone
239,lee cronin, yeah absolutely i would love to get old fossil samples and apply assembly theory mass spec and see if we can find new forms of life that have that are no longer amenable to gene sequencing because the dna is all gone because dna and rnas quite unstable but some of the more complex molecules might be there they might give you a hint something new or wouldnt it be great if you
240,lex fridman, i understand
241,lee cronin,  if you find a sample thats worth really persevering and doing the proper extraction to pcr and so on and then sequence it and then put it together
242,lex fridman, so when a thing dies you can still get some information about its complexity
243,lee cronin, yeah and it appears that you can do some dating now there are really good techniques theres radiocarbon dating there is longer dating going looking at radioactive minerals and so on and you can also in bone you can look at what happens after something dies is you get whats called racemization where the chirality in the polymers basically changes and you get decomposition and the deviation from the pure enantiomer to the mixture you can have it gives you a timescale on it halflife so you can date when it died i want to use assembly theory to see if i can use it and date death and things and trace the tree of life and also decomposition of molecules
244,lex fridman, do you think its possible
245,lee cronin, oh yeah without a doubt it may not be better than what i was just at conference where theres some brilliant people looking isotope enrichment and looking at how life enriches isotopes and theyre really sophisticated stuff that theyre doing but i think theres some fun to be had there because it gives you another dimension of dating how old is this molecule in terms of or more importantly how long ago was this molecule produced by life more complex the molecule the more prospect for decomposition oxidation reorganization loss of chirality and all that jazz
246,lee cronin, but what life also does is it enriches as you get older the amount of carbon in you goes up because of the way the bonding is in carbon so it has a slightly different strength bond strength than you its called a kinetic isotope effect so you can literally date how old you are or when you stop metabolizing so you could date someones how old they are i think im making this up this might be right but i think its roughly right the amount of carbon you have in you you can estimate how old you are
247,lex fridman, how old living humans are or living organism
248,lee cronin, yeah yeah you could say oh this person is  years old and this person is  years old because theyve been metabolizing more carbon and theyve accumulated it thats the basic idea its probably completely wrong timescale
249,lee cronin,response to criticism
250,lex fridman, signatures of chemistry are fascinating so youve been saying a lot of chemistry examples for assembly theory what if we zoom out and look at a bigger scale of an object like really complex objects like humans or living organisms that are made up of millions or billions of other organisms how do you try to apply assembly theory to that
251,lee cronin, at the moment we should be able to do this to morphology in cells so were looking at cell surfaces and really im to trying to extend further its just that we work so hard to get this paper out and people to start discussing the ideas but its kind of funny because i think the penny is falling on this so yeah
252,lex fridman, what does that even whats it mean for a penny to be
253,lee cronin, i mean no the pennys dropped right a lot of people were like its rubbish its rubbish youve insulted me its wrong i mean the paper got published on the th of october it had  million engagements on twitter and its been downloaded over a few hundred thousand times and someone actually said to me wrote to me and said this is an example of really bad writing and what not to do and i was like if all of my papers got read this much because thats the objective if i have a publishing a paper i want people to read it i want to write that badly again
254,lex fridman, yeah i dont know whats the deep insight here about the negativity in the space i think its probably the immune system of the scientific community making sure that theres no bullshit that gets published and that it can overfy it can do a lot of damage it can shut down conversations in a way thats not productive
255,lee cronin, and i go back i mean ill answer your question about the hierarchy in assembly but lets go back to the perception people saying the paper was badly written i mean of course we could improve it we could always improve the clarity
256,lex fridman, lets go there before we go to the hierarchy
257,lee cronin, yeah
258,lex fridman, it has been criticized quite a bit the paper what has been some criticism that youve found most powerful that you can understand and can you explain it
259,lee cronin, yes the most exciting criticism came from the evolutionary biologist telling me that he thought that origin of life was a solved problem and i was like whoa were really onto something because its clearly not and when you poked them on that they just said no you you dont understand evolution and i said no no i dont think you understand that evolution had to occur before biology and theres a gap that was really for me that misunderstanding and that did cause an immune response which was really interesting
260,lee cronin, the second thing was the fact that physicists the physicists were actually really polite really nice about it but they just said huh were not really sure about the initial conditions thing but this is a really big debate that we should certainly get into because the emergence of life was not encoded in the initial conditions of the universe and i think assembly theory shows why it cant be ill say that
261,lex fridman, okay sure if you could say that again
262,lee cronin, the origin of the emergence of life was not and cannot in principle be encoded in the initial conditions of the universe
263,lex fridman, just to clarify what you mean by life is what high assembly index objects
264,lee cronin, yeah and this goes back to your favorite subject
265,lex fridman, whats that
266,lee cronin, time
267,lex fridman, right so why what does time have to do with it
268,lee cronin, i mean probably we can come back to it later but i think it might be if we have time
269,lex fridman, yeah
270,lee cronin, but i think that i think i now understand how to explain how lots of people got angry with the assembly paper but also the ramifications of this is how time is fundamental in the universe and this notion of commentorial spaces and there are so many layers on this but you have to become an i think you have to become an intuitionist mathematician and you have to abandon platonic mathematics and also platonic mathematics is left physics astray but theres a lot to unpack there so we can go to the
271,lex fridman, platonic mathematic okay its okay the evolutionary biologists criticized because the origin of life is understood and not it doesnt require an explanation that involves physics
272,lee cronin, yeah it
273,lex fridman, thats their statement
274,lee cronin, well i mean they said lots of confusing statements basically i realized the evolutionary biology community that were vocal and some of them were really rude really spiteful and needlessly so right because look i didnt people misunderstand publication as well some of the peoples have said how dare this be published in nature what a terrible journal and it really and i watched said to people look this is a brand new idea thats not only potentially going to change the way we look at biology its going to change the way we look at the universe
275,lee cronin, and everyones saying how dare how dare you be so grandiose im like no no no this is not hype were not saying weve invented some i dont know weve discovered a alien in a closet somewhere just for hype we genuinely mean this to genuinely have the impact or asked the question and the way people jumped on that was a really bad precedent for young people who want to actually do something new
276,lee cronin, because this makes a bold claim and the chances are that its not correct but what i wanted to do is a couple of things is i wanted to make a bold claim that was precise and testable and correctable not another wooly informationinbiology argument informationchurring machine blah blah blah blah blah a concrete series of statements that can be falsified and explored and either the theory could be destroyed or built upon
277,lex fridman, well what about the criticism of youre just putting a bunch of sexy names on something thats already obvious
278,lee cronin, yeah thats really good so the assembly index of a molecule is not obvious no one had measure it before and no one has thought to quantify selection complexity and copy number before in such a primitive quantifiable way i think the nice thing about this paper
279,lee cronin,  quantifiable way i think the nice thing about this paper this paper is a tribute to all the people that understand that biology does something very interesting some people call it negentropy some people call it think about organizational principles that lots of people were not shocked by the paper because theyd done it before a lot of the arguments we got some people said oh its rubbish oh by the way i had this idea  years before i was like  which one is it the rubbish part or the really revolutionary part
280,lee cronin, so this kind of plucked two strings at once it plucked the there is something interesting that biology are we can see around this but we havent quantified yet and what this is is the first stab at quantifying that so the fact that people said this is obvious but if its obvious why have you not done it
281,lex fridman, sure but theres a few things to say there one is this is in part of philosophical framework because its not like you can apply this generally to any object in the universe its very chemistry focused
282,lee cronin, yeah well i think you will be able to we just havent got there robustly so if we can say how can we lets go up a level so if we go up from level lets go up from molecules to cells because you would jump to people and i jump to emoticons and both are good and they will be assembly
283,lex fridman, lets stick with cells yeah good point
284,lee cronin, if we go from molecules to assemblies and lets take acellular assembly a nice thing about a cell is you can tell the difference between a eukaryote and a prokaryote right the organalles are specialized differently when then look at the cell surface and the cell surface has different glycosylation patterns and these cells will stick together now lets go up a level in multicellular creatures you have cellular differentiation
285,lee cronin, now if you think about how embryos develop you go all the way back those cells undergo differentiation on a causal way thats biomechanically a feedback between the genetics and biomechanics i think we can use assembly theory to apply to tissue types we can even apply it to different cell disease types so thats what were doing next but we are trying to walk the thing is im trying to i want a leap ahead to go whoa we apply it to culture clearly you can apply it to memes and culture and weve also applied to assembly theory to cas and not as you think
286,lex fridman, cellular automaton by the way
287,lee cronin, yeah yeah cellular automaton not just as you think different ca rules were invented by different people at different times and one of my coworkers very talented chap basically was like oh i can realize that different people had different ideas with different rules and they copied each other and made slightly different cellular automaton rules and looked at them online and so he was able to refer an assembly index and copy number of rule whatever doing this thing but i digress
288,lee cronin, but it does show you can apply it at a higher scale so what do we need to do to apply assembly theory to things we need to agree theres a common set of building blocks so in a cell well in a multicellular creature you need to look back in time so there is the initial cell which the creature is fertilized and then starts to grow and then there is cell differentiation and you have to then make that causal chain both on those so that requires development of the organism in time or if you look at the cell surfaces and the cell types theyve got different features on the cell walls and inside the cell so were building up but obviously i want a leap to things like emoticons language mathematical theorems
289,lex fridman, but thats a very large number of steps to get from a molecule to the human brain
290,lee cronin, yeah and i think they are related but in hierarchies of emergence so you shouldnt compare them i mean the assembly index of a human brain what does that even mean well maybe we can look at the morphology of the human brain say all human brains have these number of features in common if they have those number and then lets look at a brain in a whale or a dolphin or a chimpanzee or a bird and say okay lets look at the assembly indices and number of features in these and now the copy number is just the number of how many birds are there how many chimpanzees are there how many humans are there
291,lex fridman, but then you have to discover for that the features that you would be looking for
292,lee cronin, yeah and that means you need to have some idea of the anatomy
293,lex fridman, but is there an automated way to discover features
294,lee cronin, i guess so and i think this is a good way to apply machine learning and image recognition just to basically characterize things
295,lex fridman, to apply compression to it to see what emerges and then use the features used as part of the compression as the measurement of as the thing that is searched for when youre measuring assembly index and copy number
296,lee cronin, and the compression has to be remember the assembly universe which is you have to go from assembly possible to assembly contingent and that jump from because assembly possible all possible brains all possible features all the time but we know that on the tree of life and also on the lineage of life going back to luca the human brain just didnt spring into existence yesterday its a long lineage of brains going all the way back and so if we could do assembly theory to understand the development not just in evolutionary history but in biological development as you grow we are going to learn something more
297,lex fridman, what would be amazing is if you can use assembly theory this framework to show the increase in the assembly index associated with i dont know cultures or pieces of text like language or images and so on and illustrate without knowing the data ahead of time just kind like you did with nasa that you were able to demonstrate that it applies in those other contexts i mean and that probably wouldnt at first and you have to evolve the theory somehow you have to change it you have to expand it
298,lee cronin, i think so
299,lex fridman, i guess this is as a paper a first step in saying okay can we create a general framework for measuring complexity of objects for measuring life the complexity of living organisms
300,lee cronin, yeah
301,lex fridman, thats what this is reaching for
302,lee cronin, that is the first step and also to say look we have a way of quantifying selection and evolution in a fairly not mundane but a fairly mechanical way because before now the ground truth for it was very subjective whereas here were talking about clean observables and theres going to be layers on that i mean with collaborators right now we already think we can do assembly theory on language and not only that wouldnt it be great if we can figure out how under pressure language is going to involve and be more efficient because youre going to want to transmit things
303,lee cronin, and again its not just about compression it is about understanding how you can make the most of the architecture youve already built and i think this is something beautiful that evolution does we are reusing those architectures we cant just abandon our evolutionary history and if you dont want to abandon your evolutionary history and you know that evolution has been happening then assembly theory works
304,lee cronin, and i think thats a key comment i want to make is that assembly theory is great for understanding when evolution has been used the next jump is when we go to technology because of course if you take the m processor i want to buy i havent bought one yet i cant justify it but i want it at some point the m processor arguably is theres quite a lot of features a quite large number the m came before it then the m all the way back you can apply assembly theory to microprocessor architecture it doesnt take a huge leap to see that
305,lex fridman, im a linux guy by the way so your examples go way over my head
306,lee cronin, yeah well whatever
307,lex fridman, is that a fruit company of some sort i dont even know yeah theres a lot of interesting stuff to ask about language like you could look at how would that work you could look at gpt gpt gpt    and try to analyze the kind of language it produces i mean thats almost trying to look at assembly index of intelligence systems
308,lee cronin, yeah i mean i think the thing about large language models and this is a whole hobbyhorse i have at the moment is that obviously theyre all about the evidence of evolution in the large language model comes from all the people that produced all the language and thats really interesting and all the corrections in the mechanical turk right
309,lex fridman, sure but thats part of the history part of the memory of the system
310,lee cronin, exactly so it would be really interesting to basically use an assembly based approach to making language in a hierarchy my guess is that we might be able to build a new type of large language model that uses assembly theory that it has more understanding of the past and how things were created basically the thing with llms is like everything everywhere all at once splat and make the user happy so theres not much intelligence in the model the model is how the human interacts with the model but wouldnt it be great if we could understand how to embed more intelligence in the system
311,lex fridman, what do you mean by intelligence there you seem to associate intelligence with history or memory
312,lee cronin, yeah i think selection produces intelligence
313,lex fridman, youre almost implying that selection is intelligence no
314,lee cronin, kind of i would go out in limb and say that but i think its a little bit more human beings have the ability to abstract and they can break beyond selection and this is darwinian selection because a human being doesnt have to basically do trial and error but they can think about it and say oh thats a bad idea wont do that and then technologies and so on
315,lex fridman, so we escaped darwinian evolution and now were onto some other kind of evolution i guess higher level
316,lee cronin, and assembly theory will measure that as well right because its all a lineage
317,lee cronin,kolmogorov complexity
318,lex fridman, okay another piece of criticism or by way of question is how is assembly theory or maybe assembly index different from kolmogorov complexity so for people who dont know a kolmogorov complexity of an object is the length of a shortest computer program that produces the object as output
319,lee cronin, yeah there seems to be a disconnect between the computational approach so kolmogorov measure requires a turing machine requires a computer and thats one thing and the other thing is assembly theory is supposed to trace the process by which life evolution emerged right theres a main thing there there are lots of other layers
320,lee cronin, so kolmogorov complexity you can approximate kolmogorov complexity but its not really telling you very much about the actual its really telling you about your dataset compression of your dataset
321,lex fridman, sure
322,lee cronin, and so that doesnt really help you identify the turtle in this case is the computer and so what assembly theory does is im going to say its a trigger warning for anyone listening who loves complexity theory i think that were going to show that ait is a very important subset of assembly theory because heres what happens i think that assembly theory allows us to go understand when were selections occurring selection produces factories and things factories in the end produce computers and then algorithmic information theory comes out of that the frustration ive had with looking at life through this kind of information theory is it doesnt take into account causation so the main difference between assembly theory and all these complexity measures is theres no causal chain and i think thats the main
323,lex fridman, thats the causal chain is at the core of assembly theory
324,lee cronin, exactly and if youve got all your data in a computer memory all the datas the same you can access it in the same way you dont care you just compress it and you either look at the program runtime or the shortest program and that for me is absolutely not capturing what it is what selection does
325,lex fridman, but assembly theory looks at objects it doesnt have information about the object history its going to try to infer that history by looking for the shortest history right the object doesnt have a wikipedia page that goes with it about its history
326,lee cronin, i would say it does in a way and it is fascinating to look at so youve just got the object and you have no other information about the object what assembly theory allows you to do with just with the object is to and the word infer is correct i agree with infer you say well thats not the history but something really interesting comes from this
327,lee cronin, the shortest path is inferred from the object that is the worst case scenario if you have no machine to make it so that tells you about the depth of that object in time and so what assembly theory allows you to do is without considering any other circumstances to say from this object how deep is this object in time if we just treat the object as itself without any other constraints and thats super powerful because the shortest path then allows you to say oh this object wasnt just created randomly there was a process and so assembly theory is not meant to one up ait or to ignore the factory its just to say hey there was a factory and how big was that factory and how deep in time is it
328,lex fridman, but its still computationally very difficult to compute that history right for complex objects
329,lee cronin, it is it becomes harder but one of the thing thats super nice is that it constrains your initial conditions right
330,lex fridman, sure
331,lee cronin, it constrains where youre going to be so if you take say imagine so one of the things were doing right now is applying assembly theory to drug discovery now what everyones doing right now is taking all the proteins and looking at the proteins and looking at molecules doppler proteins why not instead look at the molecules that are involved in interacting with the receptors over time rather than thinking about and use the molecules evolve over time as a proxy for how the proteins evolved over time and then use that to constrain your drug discovery process
332,lee cronin, you flip the problem  and focus on the molecule evolution rather than the protein and so you can guess in the future what might happen so you rather than having to consider all possible molecules you know where to focus and thats the same thing if youre looking at in assembly spaces for an object where you dont know the entire history but you know that in the history of this object its not going to have some other motif there that it doesnt apply it doesnt appear in the past
333,lex fridman, but just even for the drug discovery point you made dont you have to simulate all of chemistry to figure out how to come up with constraints
334,lee cronin, no
335,lex fridman, and the molecules and the
336,lee cronin, no
337,lex fridman, i dont know enough about protein
338,lee cronin, well this is another thing that i think causes because this paper goes across so many boundaries so chemists have looked at this and said this is not correct reaction its like no its a graph
339,lex fridman, sure theres assembly index and shortest path examples here on chemistry
340,lee cronin, yeah and what you do is you look at the minimal constraints on that graph of course it has some mapping to the synthesis but actually you dont have to know all of chemistry you can build up the constraints space rather nicely but this is just at the beginning right there are so many directions this could go in and as i said it could all be wrong but hopefully its less wrong
341,lex fridman, what about the little criticism i saw of by way of question do you consider the different probabilities of each reaction in the chain so that there could be different when you look at a chain of events that led up to the creation of an object doesnt it matter that some parts in the chain are less likely than others
342,lee cronin, no
343,lex fridman, it doesnt matter
344,lee cronin, no no well lets go back so no not less likely but react so no so lets go back to what were looking at here so the assembly index is the minimal path that could have created that object probabilistically so imagine you have all your atoms in a plasma youve got enough energy theres collisions what is the quickest way you could zip out that molecule with no reaction constraints
345,lex fridman, how do you define quickest there then
346,lee cronin, its just basically walk on a random graph so we make an assumption that basically the timescale for forming the bonds so no i dont want to say that because then its going to have people getting obsessing about this point and your criticism is a really good one what were trying to say is this puts a lower bound on something of course some reactions are less possible than others but actually i dont think chemical reactions exist
347,lex fridman, oh boy what does that mean why dont chemical reactions exist
348,lee cronin, im writing a paper right now that i keep being told i have to finish and its called the origin of chemical reactions and it merely says that reactivity exists as controlled by the laws of quantum mechanics and reactions chemists put names on reactions so you can have i dont know the wittig reaction which is by wittig you could have the suzuki reaction which is by suzuki
349,lee cronin, now what are these reactions so these reactions are constrained by the following theyre constrained by the fact theyre on planet earth g  kelvin  bar so these are constraints theyre also constrained by the chemical composition of earth oxygen availability all this stuff and that then allows us to focus in our chemistry so when a chemist does a reaction thats a really nice compressed shorthand for constraint application glass flask pure reagent temperature pressure boom boom boom control control control control control
350,lee cronin, so of course we have bond energies so the bond energies are kind of intrinsic in a vacuum so the bond energy you have to have a bond and so for assembly theory to work you have to have a bond which means that bond has to give the molecule a half life so youre probably going to find later on that some bonds are weaker and that you are going to miss in mass spectrum when you look at the assembly of some molecules youre going to miscount the assembly of the molecule it falls apart too quickly because the bonds just form but you can solve that with looking at infrared
351,lee cronin, so when people think about the probability theyre kind of misunderstanding assembly theory says nothing about the chemistry because chemistry is chemistry and their constraints are put in by biology there was no chemist on the origin of life unless you believe in the chemist in the sky and its like santa claus they had a lot of work to do but chemical reactions do not exist and the constraints that allow chemical transformations to occur do exist
352,lex fridman, okay okay so its constraint so theres no chemical reactions its all constraint application which enables the emergence of whats a different word for chemical reaction
353,lee cronin, transformation
354,lex fridman, transformation
355,lee cronin, yeah like a function its a function but no but i love chemical reactions as a shorthand and so the chemists dont all go mad i mean of course chemical reactions exist on earth
356,lex fridman, its a shorthand
357,lee cronin, its a shorthand for these constraints
358,lex fridman, so assuming all these constraints that weve been using for so long that we just assume that thats what was the case in natural language conversation
359,lee cronin, exactly the grammar of chemistry of course emerges in reactions and we can use them reliably but i do not think the wittig reaction is accessible on venus
360,lex fridman, right and this is useful to remember to frame it as constraint application is useful for when you zoom out to the bigger picture of the universe and looking at the chemistry of the universe and then starting to apply assembly theory thats interesting thats really interesting but weve also pissed off the chemists now
361,lee cronin, oh theyre pretty happy but well most of them
362,lex fridman, no everybody deep down is happy i think theyre just sometimes feisty thats how they have fun
363,lee cronin, everyone is grumpy on some days when you challenge the problem with this paper is its almost like i went to a park its like i used to do this occasionally when i was young go to a meeting and just find a way to offend everyone at the meeting simultaneously even the factions that dont like each other theyre all unified in the hatred of you just offending them this paper it feels like the person that went to the party and offended everyone simultaneously so stop fighting with themselves and just focused on this paper
364,lee cronin,nature review process
365,lex fridman, maybe just a little insider interesting information what were the editors of nature what the reviews and so on how difficult was that process because this is a pretty big paper
366,lee cronin, so when we originally sent the paper we sent the paper and the editor said that this is quite a long process we sent the paper and the editor gave us some feedback and said i dont think its that interesting or its hard its hard concept and the editor gave us some feedback and sarah and i took a year to rewrite the paper
367,lex fridman, was the nature of the feedback very specific on this part this part or was it like what are you guys smoking what kind of crack are you taking
368,lee cronin, yeah it was kind of the latter what are you smoking
369,lex fridman, okay but polite and theres promise
370,lee cronin, yeah well the thing is the editor was really critical but in a really professional way and i mean for me this was the way science should happen so when it came back we had too many equations in the paper if you look at the preprint theres just equations everywhere like  equations and when i said to abhishek who was the first author weve got to remove all the equations but my assembly equations staying in abhishek was like no we cant
371,lee cronin, i said well look if we want to explain this to people theres a real challenge and so sarah and i went through the i think it was actually  versions of the paper but basically we got to version  or something we said right zero it start again so we wrote the whole paper again we knew the entire
372,lex fridman, amazing
373,lee cronin, and we just went bit by bit by bit and said what is it we want to say and then we sent the paper in and we expected it to be rejected and not even go to review and then we got notification back it had gone to review and we were like oh my god its so going to get rejected hows it going to get rejected because the first assembly paper on the mass spec we sent to nature went through six rounds of review and rejected and by a chemist that just said i dont believe you you must be committing fraud
374,lee cronin, and long story probably a boring story but in this case it went out to review the comments came back and the comments were incredibly they were very deep comments from all the reviewers but the nice thing was the reviewers were kind of very critical but not dismissive they were like oh really explain this explain this explain this explain this
375,lex fridman, thats great
376,lee cronin, are you sure its not kolmogorov are you sure its not this and we went through i think three rounds of review pretty quick and the editor went yeah its in
377,lex fridman, but maybe you could just comment on the whole process youve published some pretty huge papers on all kinds of topics within chemistry and beyond some of them have some little spice in them a little spice of crazy like tom waits says i like my tom with a little drop of poison its not a mundane paper so whats it like psychologically to go through all this process to keep getting rejected to get reviews from people that dont get the paper or all that kind of stuff just from a question of a scientist what is that like
378,lee cronin, i mean this paper for me kind of because this wasnt the first time we tried to publish assembly theory at the highest level the nature communications paper on the mass spec the idea went to nature and got rejected went through six rounds of review and got rejected and i just was so confused when the chemist said this cant be possible i do not believe you can measure complexity using mass spec and also by the way complex molecules can randomly form and were like but look at the data the data says and they said no no we dont believe you and we went and i just wouldnt give up and the editor in the end was just like different editors actually right
379,lex fridman, whats behind that never giving up when youre sitting there  oclock in the evening theres a melancholy feeling that comes over you and youre like okay this is rejection number five or its not rejection but maybe it feels like a rejection because the comments are that you totally dont get it what gives you strength to keep going there
380,lee cronin, i dont know i dont normally get emotional about papers but it is not about giving up because we want to get it published because we want the glory or anything its just like why dont you understand and so what i would just is try to be as rational as possible and say yeah you didnt like it tell me why and then
